text,label
nati bari kam aga higa kam mada jeewath wenawata wada hodai miyadunaa nam deiyane,1
oba samata suba dawasak wewa,0
hamadema athaharala giyanam hari wage,1
raata dilisena luminious paata tharu tikak kaamare alewwa iye raa..tharu piri ahasaka nidhaganna hageemak awe,0
mata manasika gataluwak thiyenawa. katha krnna puluwan kenek innawada,1
mageth thiyenawa eka maru ne,0
ow kochchara hoda karath dakinne na. anith aya arama kara mehema kara kiyanawa. mata puluwan widihata karath magema pawule ayagen kisima hodhak ahanna labenne na,0
ane ekata one uthsahaya na. nagitinna nagitinna thawa pahalatama watenawa nam,0
hamawelema mata kawruth naha mama thani wela kiyala hithenawa ai,1
me hithe ellila peredha awidan ma laga nawathila,0
hamotama mama witharak waradhikaraya wenawa hamadama. kochchara dewal karath kawruth hodhak dakinne na. ethakota hithenawa kawruth nadda kiyala mawa therum ganna,1
"hama welema thaniwela kawruth na, thamanta kawruth kamathi naha kiyala hithenawa",1
"oya budhdhagama gana loku talk daana kattiya innawa, loku iskolawalata lamai daganna lamai bawthisma krla palli yawanawa",0
nindha samanya dinawalata wada adui,1
ra madha nindhen aharila nindha yanne na,1
eyalata kemathi thanaka kemathi widihakata yanna puluwan. apita henagahuwath kamak naha,0
"thaniyama, adhure, andhe inna hithenawa",1
wenadata sathutu wuna dewal walin adha sathutak na,1
kochchara cream ulagena hitiyath mulinma moona balanne na,0
moone kurula enawata beheth bona kolloth innawa kiyala mama adai danne ,0
sharirayata uthyogi bawa na,1
hi oyala monada krnne,0
suba dawasak wewa,0
putha ohoma hithanawa nam mama hithanna one kohomada? api hamoma thaniwela puthe...koitharam liwwath iwara krnna bari prashna godak madhdhe ,1
minissu aawath eliyata yanna kamathi na..gedara tikak sadde ahunath tharaha yanawa..welawakata oluwata kotte thadha karagannawa haiyen...sadde haiyen ahenakota...thaniyama saddayakwath nathi than walata wela inna hithenawa...welawakata waththa pahalata gihin thaniyama innawa..,1
thaniwai upanne thaniwai marenne,1
godak aya kenekwa heerimakwath nowenna parissamata balaganne billakata ganna,0
jeewithe laginma hitiya aya wenas wunama ehema danenawa,0
matath yaluwo na echchara. mata duka thiyenawa wagema..mama samarisi tharunayek...mama adhare karapu kenagen prathikshepa wuna kaale godak danuna...danth ehemai.....eth dan purudhui...hamotama jeewithe thanikama widinna wenawa...me loketa awe thaniyen yanna wenneth thaniyen. eka nisa thanikamata huru wena eka hodai.,1
thaniyama marena eka nemei amaru thaniyama jeewath wena eka,1
hithana dewalma wenne natha,0
thun hithakinwath apita nohithana akamathi dewal ekka apita happenna wena eka thamai jeewithe kiyanne,0
"demawpiyo nathi unata passe...sahodara sahodariyo bandhala wen wunama, kasadayak bandhaganna bari wunama maara asarana kamak danenna gaththa",1
mama kon wela kawruth kemathi na mata,1
mata marenna hithuna,1
